,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Germany,6.113,8.734,12.001,14.609,16.629,18.428,20.622,22.247,23.902,25.777,27.214,29.06,31.27,34.25,39.165,44.941,50.018,56.164,59.31,61.4
1,Spanien,2.836,3.55,5.043,6.202,8.263,10.027,11.615,15.831,16.754,19.149,20.676,21.674,22.784,22.959,22.987,23.025,23.047,23.026,0,0
2,United States,2.61,4.245,4.674,6.374,6.725,9.149,11.603,16.664,25.17,35.068,40.18,46.919,60.007,61.11,65.879,73.991,82.184,88.927,96.52,105.57
3,Dänemark,2.341,2.456,2.88,3.11,3.117,3.122,3.136,3.125,3.163,3.465,3.572,3.871,4.162,4.807,4.845,5.064,5.228,5.32,0,0
4,India,1.22,1.456,1.702,2.11,3,4.43,6.27,7.845,9.655,10.926,13.065,16.084,18.421,20.15,22.465,25.088,28.7,32.879,35.13,37.51
5,Italien,0.424,0.7,0.806,0.904,1.125,1.717,2.123,2.726,3.736,4.849,5.797,6.747,8.118,8.558,8.663,8.975,9.257,9.7,0,0
6,Niederlande,0.473,0.523,0.727,0.873,1.078,1.219,1.56,1.746,2.225,2.223,2.237,2.328,2.391,2.671,2.805,3.443,4.328,0,0,0
7,Großbritannien,0.425,0.525,0.57,0.649,0.888,1.353,1.963,2.389,3.241,4.245,5.204,6.54,8.649,10.711,12.44,13.809,14.543,17.852,20.96,23.34
8,Japan,0.142,0.357,0.486,0.686,0.936,1.231,1.309,1.538,1.88,2.056,2.304,2.501,2.614,2.669,2.789,3.038,3.234,0,0,0
9,China,0.352,0.406,0.473,0.568,0.764,1.26,2.604,5.906,12.21,25.805,42.287,62.733,75.324,91.412,114.763,145.36,168.69,187.73,210.25,236.4
10,Schweden,0.265,0.318,0.372,0.399,0.442,0.5,0.572,0.788,1.048,1.56,2.163,2.97,3.746,4.382,5.425,6.029,6.52,6.721,7.22,8.8
11,Kanada,0.139,0.214,0.27,0.317,0.444,0.683,1.459,1.846,2.369,3.319,4.009,5.265,6.204,7.823,9.694,11.219,11.9,12.239,12.82,13.41
12,Portugal,0.111,0.153,0.204,0.299,0.522,1.022,1.716,2.15,2.862,3.357,3.702,4.083,4.529,4.73,4.914,5.05,5.316,5.316,0,0
13,Australien,0.03,0.071,0.189,0.198,0.38,0.708,0.817,0.824,1.306,1.712,1.88,2.224,2.584,3.239,3.806,4.187,4.327,4.879,0,0
14,Frankreich,0.063,0.115,0.183,0.239,0.386,0.757,1.567,2.454,3.404,4.574,5.66,6.792,7.623,8.243,9.285,10.505,12.066,13.76,15.31,16.64
15,Irland,0.122,0.129,0.167,0.186,0.339,0.496,0.745,0.805,1.027,1.31,1.428,1.631,1.749,2.049,2.272,2.446,2.83,0,0,0
16,Österreich,0.069,0.086,0.13,0.415,0.606,0.819,0.965,0.982,0.995,0.995,1.011,1.084,1.378,1.684,2.095,2.411,2.632,0,0,0
17,Belgien,0.019,0.034,0.045,0.068,0.095,0.167,0.193,0.287,0.415,0.563,0.911,1.078,0.996,1.651,1.959,2.218,2.386,0,0,0
18,Finnland,0.039,0.04,0.044,0.051,0.082,0.082,0,0,0,0,0,0,0.288,0.449,0.627,0,0,0,0,0
19,Schweiz,0.003,0.005,0.006,0.006,0.009,0.012,0,0,0,0,0,0,0.05,0.06,0.06,0,0,0,0,0
20,Sonstige,0.296,0.321,0.505,0.851,1.528,1.765,1.687,1.719,2.821,2.401,3.758,4.906,3.955,3.905,5.363,17.312,20.376,0,118.22,132.12
21,Griechenland,0,0,0,0,0,0,0.746,0.871,0.985,1.086,1.208,1.629,1.749,1.866,1.98,0,0,0,0,0
22,Polen,0,0,0,0,0,0,0.153,0.276,0.544,0.725,1.107,1.616,2.496,3.39,3.834,5.1,5.782,6.534,0,0
23,Norwegen,0,0,0,0,0,0,0.314,0.333,0.428,0,0,0,0,0,0,0,0,0,0,0
24,Brasilien,0,0,0,0,0,0,0.237,0.247,0.341,0.606,0.931,1.509,2.508,3.466,5.939,8.726,10.74,12.763,14.71,15.45
25,Südkorea,0,0,0,0,0,0,0.173,0.191,0.236,0.348,0.379,0.407,0.483,0.561,0.609,0,0,0,0,0
26,Costa Rica,0,0,0,0,0,0,0.074,0.074,0.074,0,0,0,0.148,0.148,0.198,0,0,0,0,0
27,Türkei,0,0,0,0,0,0,0,0,0,0.801,1.329,1.799,2.312,2.959,3.763,4.694,6.081,6.981,0,0
28,Mexiko,0,0,0,0,0,0,0,0,0,0.202,0.517,0.873,1.369,1.859,2.381,3.073,3.527,0,0,0
29,Neuseeland,0,0,0,0,0,0,0,0,0,0.497,0.506,0.623,0.623,0.623,0.623,0,0,0,0,0
30,Taiwan,0,0,0,0,0,0,0,0,0,0.436,0.519,0.564,0.564,0.614,0.633,0,0,0,0,0
31,Ägypten,0,0,0,0,0,0,0,0,0,0.43,0.55,0.55,0.55,0.55,0.61,0,0,0,0,0
32,Marokko,0,0,0,0,0,0,0,0,0,0.253,0.286,0.291,0.291,0.487,0.787,0,0,0,0,0
33,Rumänien,0,0,0,0,0,0,0,0,0,0,0,0,1.905,2.6,2.954,2.976,3.028,0,0,0
34,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0.205,0.331,0.836,0,0,0,0,0
35,Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0.059,0.464,0,0,0,0,0
36,Argentinien,0,0,0,0,0,0,0,0,0,0,0,0,0.142,0.218,0.271,0,0,0,0,0
37,Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0.106,0.256,0,0,0,0,0
38,Tunesien,0,0,0,0,0,0,0,0,0,0,0,0,0.104,0.255,0.255,0,0,0,0,0
39,Karibik,0,0,0,0,0,0,0,0,0,0,0,0,0.191,0.25,0.25,0,0,0,0,0
40,Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0.146,0.146,0.186,0,0,0,0,0
41,Äthiopien,0,0,0,0,0,0,0,0,0,0,0,0,0.081,0.171,0.171,0,0,0,0,0
42,Zypern,0,0,0,0,0,0,0,0,0,0,0,0,0.147,0.147,0.147,0,0,0,0,0
43,Luxemburg,0,0,0,0,0,0,0,0,0,0,0,0,0.058,0.058,0.058,0,0,0,0,0
44,Cap Verde,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0.024,0.024,0,0,0,0,0
